name,heat,carbohydrate,fat,protein
拌辣油菜梗,54,5.24,3.56,2.17
五香鲤鱼块,143,4.15,8.8,11.02
炖蛋肉,420,3.33,40.62,9.78
熘虾仁,138,8.79,7.97,8.79
符离集烧鸡,221,2.98,15.56,17.26
豆腐烩饭,68,8.72,2.14,3.56
红煨土豆,110,16.66,4.22,2.05
拔丝番茄,111,10.45,6.95,2.84
蒜蓉玉叩鸡胗,129,5.57,3.96,17.62
抹茶蛋糕卷,261,30.39,12.31,7.77
番茄酥鸡腿,245,9.24,17.43,12.48
罐焖牛肉,64,5.64,1.52,3.64
炸鸡肉团,313,30.29,16.68,11.30
黑米鱼,228,35.59,4.73,12.67
紫菜馄饨,110,10.20,6.06,4.45
芋头炸排骨,203,12.68,14.14,6.98
包封鲫鱼,257,5.50,20.22,12.59
卤肥肠,191,0.90,17.82,6.71
油焖茄子,164,6.68,15.01,1.28
泡椒烧魔芋,64,4.44,4.73,0.72
豉汁鱼块,172,3.08,11.04,15.26
糖醋南瓜丸,96,12.92,4.41,1.72
走油肉,445,1.10,45.64,7.20
卤味醉虾,93,4.75,2.72,11.14
果醋椰浆冰饮,69,5.20,4.45,1.91
醋腌萝卜,43,8.04,0.49,1.43
拔丝荸荠,142,20.22,5.81,3.89
铁扒鹌鹑,137,0.99,6.85,17.77
蒜泥拌凉粉,57,11.02,1.33,1.11
椒油拌海带,68,3.40,5.73,1.53
干煸牛肉丝(微波炉法),191,6.16,13.73,11.19
酱香豆腐干,333,10.61,27.49,11.32
烧肉粽,228,17.71,15.81,4.07
烧包菜丝,48,4.93,1.98,3.30
软酥鸡爪,241,6.77,14.62,19.63
济南熏肉,132,1.66,5.68,18.51
炝三色芥菜,74,7.97,3.68,1.69
炸虾,283,9.67,21.59,12.54
烧狮子头,248,3.61,23.4,5.30
香芹肉丝,164,4.81,14.1,5.22
花生奶油饼干,512,53.58,29.87,7.67
白灼鲜鱿鱼,131,3.84,6.62,15.20
清炖猪蹄,108,1.29,7.47,9.10
丝瓜香菇,68,6.04,4.6,1.25
扒肥肠,253,3.20,23.9,6.30
干煸豆芽,81,5.73,4.89,4.36
马铃薯烧肉,326,9.42,30.13,4.60
糖醋鸡蛋,178,4.85,12.33,11.97
糖醋黄金素肉,438,34.65,29.2,9.70
酱莲花素肉,201,12.80,12.12,10.89
百叶结炖肉,302,7.35,25.61,11.26
卤汁凤爪,246,5.17,14.93,22.16
烧羊排,150,3.40,7.19,17.95
菊花鸡,187,15.69,9.1,10.91
蚝油扇贝,79,2.80,2.85,10.56
玫瑰醋煎鸡排,140,4.89,7.32,13.55
金钱牛排,178,4.91,10.81,15.22
椒盐腌白菜,26,3.20,1.07,1.52
扒芙蓉鸡片,278,4.04,24.63,10.23
蒜拌绿豆芽,39,4.72,1.6,2.01
油漆包菜,58,9.51,1.86,1.61
酱油龙须菜,37,7.00,0.1,3.10
"""胡玉美""豆瓣酱",309,53.73,1.44,18.79
蘑菇鸡块,113,3.65,7.0,9.57
蚝油牛肉丸,195,5.30,12.12,16.27
熘肉丝,187,9.51,9.76,16.25
滑熘腐竹,352,17.87,19.65,26.89
白灼西兰花虾仁,40,3.22,0.7,6.01
浇汁土豆片,175,19.01,10.36,2.05
煨牛肉,158,5.50,7.74,17.23
拌金针菇,100,10.33,5.96,2.47
烧麦,220,40.30,3.27,7.98
酸奶红薯泥,82,16.85,1.05,1.90
咖喱粉丝,188,10.84,11.54,10.77
香菇蒸黄鱼,102,1.01,4.81,13.30
乳汁墨鱼,92,5.73,1.47,13.85
酒香螺,69,7.47,0.79,6.53
榛蘑烧花菜,148,15.59,7.2,9.56
椒盐南瓜条,165,22.14,6.91,3.98
焦熘茄条,93,6.40,5.66,4.14
烤原汁鸡,180,3.91,12.34,13.44
素炒小白菜,43,2.57,3.41,1.42
炸椒盐鸡排,224,23.04,10.23,9.88
焦熘鱼块,152,13.10,5.66,12.63
大葱烧豆腐,114,4.47,8.02,5.65
豆瓣鱼,142,6.79,6.71,14.07
炝炒蕨菜,67,6.88,3.17,1.80
酱芥菜丝(二),57,7.84,2.35,2.78
黑胡椒牛排配蘑菇酱汁，沙拉,124,6.03,8.21,7.19
脆辣黄瓜条,39,4.42,2.17,1.14
红烧素小排骨,252,10.27,16.93,15.18
麻辣韭菜,50,5.46,2.7,2.60
炸麻酱汤圆,360,34.79,23.63,3.61
酱味鸡腿,182,1.18,13.13,14.76
滑熘牛肉片,151,12.93,8.17,7.02
白菜扒猪肝,54,4.08,1.53,5.55
红油拌茄子,84,8.64,5.78,1.48
干炸带鱼,172,4.68,10.16,16.08
熘鹌鹑蛋,177,10.06,9.79,12.15
飘香土豆片,148,13.08,7.07,6.83
酿蘑菇,79,3.68,2.04,10.46
炸鱼条,218,9.76,12.75,16.45
茄子焖黄豆,88,8.93,4.24,6.80
麻辣胡豆瓣酱,283,52.56,1.14,18.38
蒜茸荷兰豆,60,6.52,2.78,2.65
炸土豆条,121,16.07,5.79,1.87
卤猪肺,85,0.82,3.85,11.78
炝藕片,87,12.47,4.14,1.88
潺菜鱼滑汤,22,1.53,0.59,3.08
海鲜豆腐煲,87,3.72,2.58,12.26
酱味牛肚,85,3.84,3.26,12.52
五香辣味牛肉汤,63,0.26,2.71,9.24
凉拌海带丝,56,3.71,4.09,1.31
凉拌木耳,63,6.92,3.58,1.68
香菇肉圆,364,10.89,32.78,7.02
扒三文鱼,117,4.84,8.09,6.31
自制红薯玉米糕,147,32.90,1.4,2.99
红烧蛋饺,161,8.18,11.12,7.34
酸辣卤羊肝,173,7.24,11.37,10.66
蛤蜊蒸蛋,116,2.88,6.67,10.97
黄金海绵蛋糕(自制),255,18.10,16.34,9.11
怪味萝卜丝,25,2.67,0.27,1.08
过油茄子,45,7.06,2.02,1.13
京葱铁板牛柳,153,7.05,7.45,14.97
自制酱黄瓜,48,8.49,0.39,3.69
菊花鲈鱼,134,7.13,5.84,13.27
红油凉粉条,78,8.92,4.87,0.52
蔬菜沙拉,40,5.40,1.38,1.18
凉拌猪舌喉,220,8.66,15.63,13.64
凉拌韭菜,95,8.13,6.39,2.34
葱油白萝卜,45,4.75,2.78,1.01
枫肉,378,2.35,35.37,12.65
焦炸螺蛳,102,5.37,5.1,8.64
凉拌黄瓜,42,3.87,2.51,1.07
杭州酱鸭,223,1.30,17.82,14.43
干炒素牛肉丝,176,9.03,11.79,9.51
蒜末拌卷心菜,72,6.98,3.96,1.56
椒油茄子,67,4.38,3.52,2.31
家常土豆丝,201,14.01,15.65,1.89
双冬滑鸡,120,6.65,5.37,10.63
干巴煨芸豆,203,4.28,13.31,15.66
四喜素丸子,332,36.80,17.05,9.03
凉拌茄子,40,4.26,1.92,1.27
红枣糯米饭,153,30.80,2.47,2.76
琥珀核桃,455,63.76,21.75,2.98
牛肉粉,74,12.27,0.98,4.12
拌黄瓜片,48,3.07,3.34,1.01
拔丝山慈姑,184,31.71,4.8,4.68
自制铜锣烧,267,58.45,1.52,6.06
芋头南乳扣肉,364,11.26,33.17,5.68
蚝油熘鸡丁,174,6.27,9.8,15.35
香辣银鱼,123,2.77,5.97,16.42
麻辣酸白菜,75,5.70,5.47,1.75
翻砂番薯芋,210,23.34,12.86,1.57
醋溜茭白,99,8.60,7.53,1.33
清蒸鳕鱼,95,1.60,2.75,16.11
烙玉米饼,150,27.20,2.47,5.88
栗子烧腐竹,249,20.11,11.04,17.74
小葱拌土豆丝,125,17.57,5.68,2.32
津丝鱼柳烩葫芦,70,4.83,2.69,6.97
双椒鸭块,254,1.19,21.37,14.77
肉末粉丝,180,15.35,11.99,2.98
番茄豆腐虾仁汤,18,1.16,0.58,2.23
辣味烤鱼,132,3.07,7.66,13.90
酱胡萝卜笋尖,99,12.22,4.87,3.71
炝扁豆,80,8.35,4.92,2.73
家庭自制泡菜,46,7.70,0.55,2.32
绿豆汤,37,7.32,0.07,1.93
卤兔肉,96,1.81,2.68,16.51
凉拌豇豆,63,4.48,3.15,3.10
五香辣瓜条(小菜),18,2.73,0.3,0.91
四平李连贵熏肉,509,5.09,50.02,8.71
香拌韭菜,37,4.84,1.64,2.35
香辣素牛肉,265,11.43,17.11,16.16
胡萝卜烧羊肉,82,8.47,2.43,7.27
烤肉,154,6.63,8.92,11.95
蒜苔炒肉丝,113,12.18,4.34,6.91
冬瓜鸡,60,2.32,3.46,5.19
黄煨牛肉,169,6.58,10.07,17.00
密瓜刨冰,70,15.19,0.67,1.00
巧克力慕斯,331,21.91,24.45,6.00
腊牛肉,119,3.39,3.7,18.12
瑞士卷,203,25.62,6.54,10.63
蛋炒饭,143,20.51,4.9,4.45
梅菜扣肉煲,472,5.76,44.76,10.02
自制肉松糍饭棒,147,24.57,3.34,5.17
海带花生排骨汤,86,2.08,6.57,5.15
金丝肉,171,4.00,12.28,11.34
海带煨鲤鱼,149,0.79,9.22,15.85
五香酱牛肉,142,3.99,5.8,18.69
腊肉(一),529,3.93,52.68,8.50
蟹肉扒豆苗,92,4.74,4.15,8.46
蔬菜莲藕汤,35,5.61,1.19,1.69
大鸡肉饼,221,27.32,7.51,11.13
红豆汤,58,11.39,0.11,3.63
南瓜发糕,152,27.30,2.87,5.12
酒香凤爪,225,4.25,13.65,20.37
锅塌蛏子,135,8.46,7.76,8.41
椒盐土豆条,140,19.59,5.67,2.35
干煎黄鱼,126,4.65,5.6,14.30
烩百叶丝,171,4.59,11.95,11.31
肉末蛋卷,163,4.03,10.34,13.22
腊制风酱鸭,253,4.34,19.1,17.64
炖银耳肉,169,16.45,4.41,15.99
扒鱼翅,58,3.50,3.82,2.49
白菜炖豆腐,73,3.89,4.88,4.11
卤鸡,168,2.61,9.26,18.86
甜酱八宝菜,119,17.29,3.1,4.74
酸甜汁蛋,140,18.63,4.99,5.99
番茄荔枝鸡,228,30.47,7.5,10.85
蒜蓉豇豆,56,7.47,2.12,2.90
绿豆薏米粥,71,14.01,0.43,3.62
玉米烙(无油无沙拉),113,25.50,0.91,2.88
清煎小牛排,118,6.69,5.24,11.49
酱爆胡萝卜肉丁,176,12.77,12.44,5.07
五香卤鸭,239,1.10,19.53,14.81
四喜烤麸,243,14.40,13.69,14.64
炖咖喱牛肉,207,6.00,15.46,11.18
自制紫薯糕,189,36.93,1.42,7.18
烩奶汤鲫鱼,52,1.68,3.13,4.43
豆角炝豆腐,116,4.77,8.89,5.30
胡萝卜丝拌白菜,20,3.19,0.18,1.44
烤鸡肉串,153,5.81,9.73,11.42
炸牛肉丸子,142,9.56,6.25,11.92
焦熘腐竹,285,18.69,13.62,23.51
炸臭豆腐,271,5.67,23.59,9.46
椒油酸辣白菜,62,8.47,1.96,1.90
清炒白菜,40,3.84,2.12,1.68
红烧菜花,94,7.41,7.06,1.70
红烧牛肉萝卜,65,7.35,1.87,5.65
焦熘里脊(一),252,11.05,17.52,12.61
酱青笋,50,9.81,0.09,2.70
五谷杂粮浆,33,6.49,0.17,0.91
微波炉蒸鱼,103,1.56,3.33,16.70
芦笋扒冬瓜,19,3.29,0.16,0.96
龙须扒菜心,70,4.99,5.73,1.41
糖拌西红柿,83,19.98,0.17,0.75
风羊火锅,237,3.91,19.97,12.00
炒青椒,33,5.15,1.46,0.84
蒜味烧茄子,60,7.41,3.04,1.39
火柿牛肉,78,6.45,2.45,8.02
清汤牛肉丸,27,1.86,0.57,3.71
川味棒棒鸡,182,2.87,11.67,16.60
铁扒巴德好司牛排,144,4.95,7.23,15.41
烧肥肠,209,6.76,17.97,5.63
清盐菜花,26,3.61,0.21,2.26
咸酥莲藕,128,18.95,4.1,3.18
荠菜炒鸡丁,92,4.36,4.68,8.57
焦溜苹果,165,18.92,9.07,3.46
鲜味莴苣丝,63,8.52,3.02,2.75
焦熘肉片(猪肉),200,17.63,9.55,10.36
煮五香花生,307,5.91,24.57,11.72
韭菜虾皮馅饼,156,23.17,3.99,7.97
炖豆腐,61,2.60,4.48,3.29
清蒸鸭,235,0.47,19.15,15.16
蒜泥拌豆角,68,8.25,3.26,2.26
红烧栗子素鸡,134,22.51,4.05,4.74
生腌茄子,41,4.49,1.92,1.38
玻璃白菜汤,39,1.25,3.6,0.59
酱爆肉丁果仁,477,14.71,41.65,10.25
酱味四季豆,177,7.62,15.51,3.13
潮州炒烤鳗,169,5.55,10.42,13.10
熘鸡片,201,16.53,9.26,12.75
酱芥蓝花片,28,2.82,0.39,3.16
炸猪排,215,11.65,12.26,14.52
烧牛肉,227,39.98,3.71,8.59
红油鸡翅,375,8.30,33.67,10.58
巧克力曲奇,516,39.94,36.45,7.80
番茄烩豆腐,33,2.58,1.57,2.41
玉米烙(有油无沙拉),271,25.50,18.77,2.88
锅塌银鱼,139,2.34,9.79,10.25
南瓜炖牛肉,56,4.22,1.44,7.12
软炸鱼条,125,2.96,5.09,15.82
五香熏牛肉,152,4.82,8.51,14.84
土豆火腿柿子椒烩炒,101,9.78,4.84,4.93
香菇炒卷心菜,53,2.81,3.29,1.98
北风肉,376,2.29,35.24,12.57
老烧鱼,211,5.47,14.49,14.69
腊肉炒菜薹,135,4.43,11.87,4.26
番茄五花肉,330,15.52,27.56,4.97
双丝鱼翅,179,11.15,6.17,19.53
油焖茭白丝,64,8.69,3.13,1.47
福建荔枝肉,202,8.68,13.06,12.25
糖醋素排骨,181,19.70,9.7,3.17
辣油黄瓜,46,6.52,2.41,1.44
重芝士蛋糕(糕体无黄油),312,22.18,18.43,14.19
柴沟堡熏肉,379,3.42,34.88,12.69
火腿蒸蛋,140,2.90,10.15,9.37
五香酱兔肉,125,5.07,4.19,16.60
红腐菜花,55,4.78,3.32,2.70
素百叶卷,218,3.88,17.73,10.60
酱芹菜叶,49,7.00,1.39,3.89
蒜泥海带丝,25,4.64,0.16,1.59
荞麦发糕,334,73.13,1.83,9.91
软炸鸭肉,298,3.09,26.75,11.22
芒果布丁,87,9.64,5.15,1.33
干烧鸭条(一),301,9.04,24.25,11.72
酱泡菜,73,9.34,2.35,2.44
鸡蛋白熘蘑菇,160,6.48,8.66,15.86
煎五香里脊肉,217,4.24,14.7,16.80
香菠咕唠肉,140,5.49,7.31,12.65
麻酱拌菠菜,66,6.11,4.0,3.31
银耳排骨汤,18,0.80,1.19,1.12
芝麻糖排骨,288,20.73,15.73,15.95
锅塌菜合,195,5.64,14.37,11.01
菜胆豆腐丸,70,8.22,3.32,2.79
清炖猪肚汤,74,0.51,5.85,4.87
巧克力蛋糕卷,310,31.07,17.6,7.37
糖醋羊肉片,203,12.44,11.09,13.39
焖羊腿肉,107,3.60,4.46,13.70
麻酱油麦菜,64,3.83,4.26,2.80
香酥土豆饼,180,33.96,2.7,6.10
炒土豆丝,98,16.16,2.9,2.37
香炸糯米鸡,184,9.07,8.91,17.00
冬笋炝黄豆芽,78,4.94,5.16,4.36
大蒜豆仔鱼,185,11.34,10.82,10.16
干煸青辣椒,52,8.19,2.14,2.11
清炒蒜苔烧肉,428,5.20,42.61,6.35
肉末烩豌豆,255,11.41,16.87,15.83
果脯冬瓜,52,12.94,0.19,0.46
生煸豌豆苗,129,5.81,10.87,3.57
香蕉蛋糕,282,48.70,7.74,4.99
熏蛋,83,5.55,3.95,6.14
青椒酱香兔,159,5.23,10.86,9.77
白灼芥菜,63,3.70,4.02,1.93
凉拌四季豆,68,7.05,3.7,3.47
肉酱拌面,371,25.59,26.55,7.27
白菜煮金针菇,32,2.70,1.48,1.49
糖溜土豆,268,29.05,16.49,1.32
红焖羊肉,242,4.75,19.99,11.78
韭菜炒蛋,94,3.59,5.75,7.71
蛋酥樟茶鸭,231,3.80,18.78,11.27
红烧鸡块,224,10.87,13.77,14.19
素馅荞麦包,264,50.00,4.92,7.99
油焖春笋,101,7.94,7.69,2.48
板栗焖鸡腿,212,12.95,13.5,10.26
贡丸汤,22,0.64,0.69,3.38
卤鸡肝,110,2.97,4.25,15.07
红烧土豆,140,15.04,7.85,2.00
香干炒毛豆子,157,6.85,8.93,10.83
毛豆炒豆腐,139,11.31,8.05,6.38
咸肉(二),376,2.41,35.19,12.56
锅塌鳕鱼,139,3.82,5.72,17.13
酱辣牛肚,112,1.59,5.91,13.25
腐皮鹌鹑蛋,121,2.76,8.15,9.11
土豆烧肉(瘦肉),173,11.26,10.19,9.10
红焖牛蹄筋,177,5.66,3.71,30.71
熘松花蛋,294,6.59,25.54,9.55
果汁炸鸭,238,5.37,18.91,10.32
青瓜拌鸡肫,91,5.72,2.7,11.57
家制腊肉(一),550,0.33,57.04,9.02
糟鸡爪,197,3.55,12.2,18.07
蒸鸡肉,118,4.08,1.7,21.55
麻辣鸭肉,326,4.02,28.88,12.31
酒香铁锅鱼,109,7.05,4.1,9.97
白果蒸鸡蛋,174,12.77,7.73,13.29
冷烤肉,127,3.27,5.79,15.13
米粉蒸南瓜,52,9.11,1.57,1.13
肉丝茭白,90,5.49,4.03,8.38
奶油扒白菜,58,4.47,3.71,2.02
卤胗肝,128,8.59,3.45,14.63
麻辣牛肉干,290,4.22,23.97,14.24
芹黄牛肉片,224,10.84,16.54,8.49
烤鸡腿,192,2.47,14.26,13.55
茴香包子,197,25.76,7.88,6.90
蚝油芥菜,60,1.75,4.89,1.68
冰糖扒蹄,265,5.74,21.6,12.34
家常鲫鱼,121,5.08,5.93,12.08
酸梅汤,32,8.52,0.07,0.19
肉末拌豆腐,110,3.53,7.34,8.26
枸杞鸡汤,87,3.41,4.86,7.72
扒南瓜,114,5.98,5.94,9.65
浸五香花生米,357,17.90,25.79,16.62
素烧茄子,81,6.39,4.91,2.35
熘腐竹油面筋,357,28.64,17.7,21.75
黄瓜熘肉片,87,4.47,4.67,7.00
醋溜白菜(二),51,3.96,2.86,1.72
冬菇油菜心,71,4.68,6.12,1.58
香菇焖南瓜,78,5.11,5.56,3.00
葱油芋头,140,15.98,7.93,2.01
毛豆炒大芥菜,138,6.64,6.94,10.46
干咸芥菜丝,23,2.98,0.38,1.92
烫空心菜,53,5.79,0.95,3.59
酱青椒,54,10.70,0.45,3.91
过油拌茄子,47,5.31,0.92,1.94
炖羊肉,196,1.43,13.28,17.92
大杂烩,55,4.31,2.29,4.03
炒扁豆,375,55.78,9.34,22.79
红烧肉,513,5.13,50.88,8.30
黑芝麻糯米卷,203,43.82,1.54,4.50
虎皮青椒,44,5.22,2.61,1.06
炸凤尾虾,246,19.87,11.93,14.90
红烧萝卜条,108,5.95,9.24,1.06
番茄豆腐烩饭,70,10.29,2.15,3.06
葱油莴笋丝,48,4.62,2.89,1.10
姜枣红糖水,19,4.62,0.08,0.20
仙人掌鸡片香菇,98,3.20,5.97,7.35
熘番茄小丸子,378,8.65,33.75,10.10
味菜牛柳,91,7.65,2.67,9.66
五香花生,393,11.88,29.93,16.88
五光十色焗饭,98,10.19,4.46,4.52
糖醋素鱼,158,20.70,5.43,6.84
脆皮花生米,559,30.48,42.33,17.56
猪肚肫冬菇,82,2.04,3.51,10.88
炒蕨菜,83,10.05,4.53,2.41
孜然香辣土豆泥,100,14.44,4.08,3.27
酱猪舌,212,4.48,14.75,13.59
香菇西兰花,57,5.35,2.72,3.66
浓情布朗尼蛋糕,526,43.72,37.24,5.29
糖醋里脊,144,5.99,7.46,12.49
三鲜鱼片,132,2.36,7.74,13.19
焖猪心,89,6.51,3.4,7.91
香菇扒菜心,85,4.55,7.66,1.82
卤肉饭,204,19.86,11.78,4.55
糖醋素鱼丁,196,27.19,9.59,0.94
腌黄豆芹菜,95,6.85,3.71,8.52
红烧泥鳅,132,2.90,7.29,13.54
香菇豆腐汤,38,1.14,2.81,1.81
雪梨蜂蜜水,20,4.71,0.1,0.15
番茄烩牛肉,77,6.47,2.68,6.48
自制微波炉蛋糕,217,42.16,2.59,7.16
炝豇豆,61,6.37,3.19,2.95
扒鸡茸菜心,92,5.16,5.97,4.00
青椒炒花菜,58,5.54,3.85,1.62
蒸南瓜,21,4.82,0.09,0.64
煎牛扒,136,8.02,4.69,16.15
油焖尖椒,29,4.88,0.29,1.81
萝卜丝饼,172,13.88,10.63,5.62
软炸豆角,185,11.75,13.55,6.44
薏米红豆汤(加蜂蜜),60,12.26,0.35,2.71
酱烧茭白,78,7.41,5.5,1.36
黄瓜炒木耳,21,4.09,0.2,0.89
熘胗核,327,6.17,28.97,10.39
百叶结烧肉,448,3.26,44.42,8.98
冬菇腐竹瘦肉汤,42,4.42,1.62,4.05
豆豉烧豆腐,174,6.04,13.47,7.63
锅塌菠菜,84,4.64,4.76,5.21
豆腐干拌白菜心,80,6.02,4.14,5.30
砂仁炖牛肉,111,1.93,2.76,19.59
绿菜花金针菇,83,5.35,6.14,3.46
鸡丝扒鲜菇,122,5.42,7.1,9.73
蘑菇烧冬瓜,40,3.60,2.3,0.84
素熘菜花,52,5.24,3.04,1.79
鸡蛋仔,226,41.48,3.21,7.90
茄汁鸡翅,140,8.45,7.03,11.01
生拌牛百叶,113,2.72,5.52,13.82
烧竹笋,79,6.18,3.88,5.46
炸麻团,423,36.49,29.49,3.85
煎里脊扒,86,7.82,1.22,11.47
东坡肉,550,3.28,55.75,8.84
香菇扒白菜,47,1.57,3.77,0.99
煎牛肉串,198,23.81,5.2,14.49
熘腰花,136,3.60,7.78,12.60
清炒蘑菇,87,8.11,5.13,2.84
泡雪里蕻,39,4.64,0.78,2.23
玻璃芋蓉,295,30.16,18.94,1.66
绿豆冰沙,93,13.62,3.21,3.34
麻辣豆腐条,324,14.58,27.86,6.10
青椒拌香干丝,102,8.10,4.87,7.81
糖汁麻辣牛肉,251,15.69,14.76,14.75
葱头烩羊肉,81,1.96,5.28,6.24
麻酱拌黄瓜,51,3.29,3.92,1.18
鸡蛋火腿营养三明治,197,22.05,7.33,9.86
蒜苗炒蛋,115,4.44,7.78,7.22
炝黄瓜片,30,4.69,0.66,1.35
胡萝卜炒鸡蛋,106,7.82,6.18,6.42
熘乌鱼片,116,8.02,4.37,11.34
新风鳗鱼,118,0.58,4.81,18.10
香油拌芹菜,57,5.25,4.18,1.42
素烧四季豆,55,5.87,2.98,1.78
香辣鱼丁,146,7.64,6.76,13.28
南瓜蒸菜,43,7.97,0.71,1.05
豆浆小海鲜锅,38,2.27,1.57,4.27
烟熏鲳鱼,186,9.54,10.09,13.34
番茄烩素鸡皮,144,10.90,10.68,1.89
浇汁冬瓜条,119,6.69,10.35,0.56
夫妻肺片,152,5.03,7.95,15.92
糖醋马蹄,61,15.42,0.21,1.06
糖酥鲫鱼,188,14.70,10.0,9.97
豆腐小笼包,140,16.03,5.72,6.40
熘鸭肝,181,3.65,15.2,7.85
焦溜丸子,482,15.58,44.29,5.62
葱爆猪肉丝,108,5.92,5.52,9.09
盐水百页,93,1.35,4.96,11.43
砂锅白菜炖豆腐,62,2.68,2.89,6.83
卤蛋烧肉,381,1.29,37.03,10.67
无油烙饼,215,46.00,0.94,7.00
花芋烧猪蹄,217,7.77,15.13,12.78
腊肠炒油菜,201,5.13,18.3,4.70
豆沙面包,267,50.80,4.73,6.68
驴肉火烧,205,27.93,4.87,13.25
熘油面筋,165,25.73,5.7,3.69
酱汁鸭子,247,1.80,20.24,14.33
糖拌杨梅,134,33.33,0.14,0.57
泡黄瓜,21,3.91,0.23,0.79
怪味蚕豆,425,44.70,21.27,15.01
油焖冬菇,66,6.03,3.63,2.20
罗宋汤(带牛肉),56,2.56,3.99,2.80
自制红豆糕,225,52.52,0.3,4.93
甜酸猪肝,222,15.14,13.82,11.39
煨牛蹄,146,2.77,0.48,32.48
炸鸡腿,261,3.05,21.8,13.24
肉松面包,326,45.44,11.36,10.00
烟熏黄鱼,177,8.63,9.52,14.36
番茄汁,26,6.15,0.12,0.52
西汁煎鱼脯,218,9.86,14.13,12.72
茄子肉丁,140,4.18,9.86,9.28
糖醋茄圆,212,34.52,7.69,2.09
松子熏肉,413,9.29,39.2,6.53
糟青鱼干,123,3.51,3.69,17.79
素红烧肉,134,11.70,8.88,2.78
锅塌番茄,176,7.98,14.44,3.87
白菜炖冻豆腐,33,1.97,1.82,2.39
拔丝樱桃肉,596,29.62,51.75,2.94
熏兔肉,118,2.80,4.33,17.31
腐竹鲩鱼煲,174,5.15,7.95,20.96
香菇焖鸡胗,182,7.37,13.24,9.01
拌猪耳,113,2.94,6.41,11.80
熘桃仁鸡,222,14.07,15.58,7.38
绿菜花竹笋,75,4.21,5.6,3.41
咖喱苹果鸡肉,66,7.95,2.31,5.01
炸肉馅茄盒,253,10.93,20.78,6.18
红烧酿草鱼,162,3.44,12.14,9.83
酸辣冬瓜汤,7,1.57,0.09,0.30
熏小肚,353,17.15,26.93,10.61
四季豆焖肉排,192,4.96,14.87,10.29
干煎牛排,157,6.03,7.98,15.70
花生辣酱,355,22.89,24.06,18.81
炸素丸子,135,7.88,9.95,4.62
蒜苔熘鸡丝,158,7.13,7.41,16.55
虎皮蛋烧肉,404,2.60,39.65,9.10
拌丝瓜,30,5.78,0.58,1.14
鱼香薯条,176,29.19,7.64,4.11
腌芥菜片,32,5.77,0.19,1.83
五香芹菜豆,70,5.01,3.3,5.08
南京盐水鸭,215,0.46,17.61,13.87
五香牛肚,81,0.88,2.45,13.46
五味煎鱼,147,2.75,8.43,14.88
蒜苗五花肉,284,3.68,26.08,9.32
萝卜银针野兔汤,38,2.06,1.1,5.35
小葱蒸鱼,103,1.05,5.82,10.57
萝卜丝拌海蜇皮,105,6.12,8.14,2.13
糖醋肉片,219,5.79,14.64,16.04
青椒鸡丝,120,5.32,5.73,10.82
熘鲜蘑鸭掌,73,3.81,0.99,12.32
油底肉炖青菜头,129,3.11,7.65,11.37
卤豆腐,104,3.42,7.74,6.05
凉拌豆腐丝,154,6.03,8.42,14.17
燔鱼片,115,3.49,7.01,9.09
茶叶蛋,136,8.58,6.65,11.68
大葱扒牛舌,207,3.73,16.03,11.91
白粽子,180,40.63,0.49,3.56
鸡汤萝卜,16,2.18,0.29,1.50
糖醋蒜,96,20.19,0.22,4.06
泾县小烧,412,12.97,31.66,16.69
酱汁拌茄子,84,7.45,6.18,1.25
青椒熏干,135,11.13,4.55,13.46
蜂蜜发糕,241,52.11,1.11,7.11
煎牛肉丸子,212,10.87,12.04,15.27
酒酿清蒸鸭,212,1.93,16.38,13.11
香菇芹菜,90,4.99,6.78,1.55
烩丝瓜鱼片,112,4.88,7.18,6.63
拌鱿鱼丝,77,1.24,2.44,12.84
咸蛋蒸猪肉,343,4.62,30.64,12.27
无骨板鸭,214,0.72,16.85,14.86
宫保猪肉丁,261,4.71,20.7,14.42
肉丝拌荠菜,55,4.67,1.69,6.71
青蒜烧豆腐,154,5.86,11.78,6.79
炒嫩南瓜丝,40,6.18,1.75,0.81
酱八样,112,14.80,3.82,3.97
烩豆干丝,161,11.12,7.44,13.14
红豆糯米糍,226,26.66,5.85,2.57
扒全素,98,6.24,8.74,1.47
上海香酥鸭,261,1.29,22.45,13.43
椒盐鲫鱼汤,40,2.16,0.9,5.72
炸豆腐,197,3.07,18.59,5.06
熏猪肉,372,2.78,34.56,12.40
卤墨鱼,65,7.25,0.52,7.75
洋白菜包子,155,25.13,3.06,6.33
熘洋白菜,173,21.08,10.64,2.67
香脆芹菜叶,128,6.95,10.92,2.40
朝鲜烤牛肉,132,9.05,4.1,15.16
炒粉,210,38.55,3.5,6.60
鸡油菜心,140,7.26,11.37,3.08
醋椒菜花,36,4.71,0.65,2.70
青椒土豆片,87,10.54,3.88,1.83
青红椒土豆丝,79,14.63,1.77,1.93
蚝油茭白,50,7.32,2.04,1.37
花椒鱼片,144,3.25,8.42,14.63
糖醋芥菜丝,109,26.10,0.14,2.03
抹茶慕斯,335,22.32,25.39,4.96
茄汁牛肉饼,245,6.16,18.51,13.32
酱牛蹄筋,150,10.25,0.67,24.88
咖喱鱼丁,166,2.71,11.49,13.18
油汆臭豆腐,249,3.89,22.74,8.00
德州五香脱骨扒鸡,168,2.11,9.32,18.86
山椒藕片,79,14.53,1.03,3.05
