rank,en,zh
852,force,"[fɔ:s]
n.
力量, 武力, 精力, 魄力, 势力, 暴力, [复]军队, 影响力
vt.
强制, 强加, (用武力)夺取, 促使, 推动, 施加压力"
853,truth,"[tru:θ]
n.
事实, 确实, 真理, 原理"
854,song,"[sɔŋ]
n.
歌, 歌曲"
855,example,"[ig'zɑ:mpl, ig'zæm-]
n.
例子, 实例, 例题, 范例, 榜样, 鉴戒, 实例"
856,democratic,"[ˏdemә'krætik]
adj.
民主的, 民主主义的, 民主政体的, 平民的"
857,check,"[tʃek]
n.
阻止, 制止, 控制, 阻止物, 支票, 检讫的记号, 饭馆的帐单
vt.
检查, 制止, 核对, 寄存, 托运
vi.
证明无误, 核对无误, 逐项相符, [象棋]将军"
858,environment,"[in'vaiәrәnmәnt]
n.
环境, 外界"
859,leg,"[leg]
n.
腿, 胫, 旅程的一段
vi.
走, 跑"
860,dark,"[dɑ:k]
n.
黑暗, 夜, 黄昏, 暗色, 无知, 模糊
adj.
黑暗的, 暗的, (头发、皮肤等)黑色的, 隐秘的, 无知的, 隐晦的, 模糊的"
861,public,"['pʌblik]
n.
公众, (特定的)人群, 公共场所
adj.
公众的, 公共的, 公立的, 公用的"
862,various,"['vєәriәs]
adj.
不同的, 各种各样的, 多方面的, 多样的"
863,rather,"['rɑ:ðә]
adv.
宁愿, 宁可, 更正确, 更合适, 有点, 相当"
864,laugh,"[lɑ:f]
vi.
笑, 讥笑
n.
笑, 笑声"
865,guess,"[ges]
vt.
猜测, 推测, 猜中, 猜对, 想, 认为
vi.
猜, 推测
n.
猜测, 推测"
866,executive,"[ig'zekjutiv]
adj.
实行的, 执行的, 行政的
n.
执行者, 经理主管人员"
867,set,"[set]
v.
放, 置, 移动到, 使(人或事物处于某种状态), 提出, 树立, 规定, 调整
n.
一套, 一副, 一批, 接受机, 装置, 趋势, 布景
adj.
固定的, 规定的, 坚决的, 固执的, 事先做好的"
868,study,"['stʌdi]
n.
学习, 研究, 学科, 试作, 论文, 求学, 努力, 书房
vt.
学习, 攻读, 研究, 考虑, 计划
vi.
学习, 试图"
869,prove,"[pru:v]
vt.
证明, 证实, 检验, 考验
vi.
原来(是), 证明(是)"
870,hang,"[hæŋ]
n.
悬挂的方式, （动作的）暂停, 中止
vt.
悬挂, 附着, 装饰, 绞死, 踌躇, 使悬而未决, 垂下
vi.
悬着, 垂下, 被绞死, 悬而不决"
871,entire,"[in'taiә]
adj.
全部的, 完整的, 整个"
872,rock,"[rɔk]
n.
岩石, 暗礁, 石头, 摇动
vt.
摇摆, 使动摇
vi.
摇, 摇动"
873,design,"[di'zain]
n.
设计, 图案, 花样, 企图, 图谋, (小说等的)构思, 纲要
v.
设计, 计划, 谋划, 构思"
874,enough,"[i'nʌf]
adj.
足够的, 充足的, 只够做...的
n.
充足, 足够, 很多
adv.
足够地, 充分地
int.
够了!"
875,forget,"[fә'get]
vt.
忘记, 忽略
vi.
忘记, 忘形, 忘乎所以"
876,since,"[sins]
adv.
以后, 后来, 以前
prep.
自从, 自...以来
conj.
自...以后, 自...以来, 因为, 既然"
877,claim,"[kleim]
n.
(根据权利提出)要求, 要求权, 主张, 要求而得到的东西
vt.
(根据权利)要求, 认领, 声称, 主张, 需要"
878,note,"[nәut]
n.
笔记, 短信, (外交)照会, 注解, 注释, 票据, 纸币, 音符
vt.
注意, 记录, 笔记"
879,remove,"[ri'mu:v]
vt.
移动, 开除, 移交
vi.
迁移, 搬家
n.
移动, 距离, 班级, 升级"
880,manager,"['mænidʒә]
n.
经理, 管理人员, 管理器"
881,help,"[help]
n.
帮忙, 补救办法, 助手, 治疗, <美>佣工
vt.
帮助, 助长, 接济, 治疗, 款待
vi.
有用, 救命, 招待
[计] 显示命令格式的简短概述"
882,close,"[klәuz]
v.
关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围
n.
结束
adj.
近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的
adv.
接近, 紧密地"
883,sound,"[saund]
n.
声音, 语音, 噪音, 吵闹, 海峡, 听力范围, 探条
adj.
健全的, 可靠的, 合理的, 有效彻底的, 健康的
adv.
彻底地, 充分地
vi.
发出声音, 回响, 测深, 听起来
vt.
使发声, 宣告, 听诊, 测...深, 试探"
884,enjoy,"[in'dʒɔi]
vt.
享受...的乐趣, 欣赏, 喜爱
v.
满意"
885,network,"['netwә:k]
n.
网络, 网状物, 广播网"
886,legal,"['li:gәl]
adj.
法律的, 法定的, 合法"
887,religious,"[ri'lidʒәs]
adj.
信奉宗教的, 虔诚的, 宗教上的, 修道的, 严谨的
n.
僧侣, 尼姑, 修道士"
888,cold,"[kәuld]
n.
寒冷, [物]零下温度, 伤风, 感冒
adj.
寒冷的, 使人战栗的, 冷淡的, 不热情的, 失去知觉的"
889,form,"[fɔ:m]
n.
形状, 形态, 外形, 表格, 形式
v.
形成, 构成, 排列, (使)组成"
890,final,"['fainәl]
n.
结局, 决赛, 期末考试, <口>报纸(在一天中)最晚版
adj.
最后的, 最终的, 决定性的"
891,main,"[mein]
n.
主要部分, 体力, 力量, 大陆, 要点, 干线
adj.
主要的, 重要的, 全力的
n.
[计] 主群组"
892,science,"['saiәns]
n.
科学, 自然科学, 理科"
893,green,"[gri:n]
n.
绿色, 绿色颜料, 绿色物品
adj.
绿色的, 未成熟的, 新鲜的, 精力旺盛的, 无经验的, 青春的"
894,memory,"['memәri]
n.
记忆, 记忆力, 回忆, 存储(器), 存储器
存储器,内存"
895,card,"[kɑ:d]
n.
纸牌, 卡片"
896,above,"[ә'bʌv]
adj.
上面的, 上述的, 上文的
adv.
在上面
prep.
在...上方, 过于, 超出"
897,seat,"[si:t]
n.
座, 座位, 所在地, 场所, 席位
vt.
使坐下"
898,cell,"[sel]
n.
单元, 细胞, 蜂房, (尤指监狱或寺院的)单人房间, 电池"
899,establish,"[is'tæbliʃ]
vt.
建立, 设立, 安置, 使定居, 使人民接受, 确定
v.
建立"
900,nice,"[nais]
adj.
美好的, 和蔼的, 正派的, 细微的, 挑剔的, 精密的, 拘泥的"
901,trial,"['traiәl]
n.
试验, 考验, 审讯, 审判"
902,expert,"['ekspә:t]
n.
专家, 行家, [军](特等)射手
adj.
老练的, 内行的, 专门的
vt.
在...中当行家, 当专家"
903,that,"[ðæt]
adj.
那, 那个
pron.
那, 那个
conj.
引导从句"
904,spring,"[spriŋ]
n.
春天, 跃起, 泉, 弹簧, 发条, 弹性, 弹力, 根源
v.
跳, 跃, 跃出, 使跳跃, 使爆炸, 触发"
905,firm,"[fә:m]
n.
公司, (合伙)商号
adj.
结实的, 坚硬的, 坚定的, 坚固的, 牢固的, 稳固的, 严格的
vt.
使牢固, 使坚定
vi.
变稳固, 变坚实
adv.
稳固地, 坚定地"
906,Democrat,"adj.
美国民主党的"
907,radio,"['reidiәu]
n.
<美>无线电通信, 无线电接收装置, 无线电广播设备
v.
用无线电发送"
908,visit,"['vizit]
n.
拜访, 访问, 游览, 参观, (作客)逗留, 视察, 调查
vt.
拜访, 访问, 参观, 视察, 降临
vi.
访问, 参观, 闲谈"
909,management,"['mænidʒmәnt]
n.
经营, 管理, 处理, 操纵, 驾驶, 手段"
910,care,"[kєә]
n.
注意, 照料, 烦恼, 忧虑, 由...转交
vi.
关心, 顾虑, 照顾, 喜爱
vt.
在意"
911,avoid,"[ә'vɔid]
vt.
避免, 消除"
912,imagine,"[i'mædʒin]
vt.
想象, 设想"
913,tonight,"[tә'nait]
adv.
今晚, 今夜
n.
今晚"
914,huge,"[hju:dʒ]
adj.
巨大的, 极大的, 无限的"
915,ball,"[bɔ:l]
n.
球, 球状物, 子弹, 舞会, 尽情地玩"
916,no,"[nәu]
n.
否定, 投反对票者
adj.
没有, 不许, 反对
adv.
不, 并不, 毫不
[域] Norway , 挪威"
917,close,"[klәuz]
v.
关, 关闭, 结束, 停止, 使靠近, 靠拢, 会合, 包围
n.
结束
adj.
近的, 紧密的, 精密的, 齐根的, 封闭的, 亲密的, 闷气的
adv.
接近, 紧密地"
918,finish,"['finiʃ]
n.
完成, 结束, 磨光, 末道漆, 完美
vt.
完成, 结束, 用完, 毁掉, 使完美
vi.
结束, 终结, 停止, 终止"
919,yourself,"[jɔ:'self, juә-, jә-]
pron.
你自己"
920,talk,"[tɔ:k]
v.
谈话, 讲, 谈论, 议论, 说服某人做某事
n.
谈话, 会谈, 讲演, 讲话"
921,theory,"['θiәri]
n.
理论, 学说, ...论, 原理, 意见, 推测"
922,impact,"['impækt]
n.
碰撞, 冲击, 冲突, 影响, 效果
vt.
挤入, 撞击, 压紧, 对...发生影响"
923,respond,"[ris'pɔnd]
v.
回答, 响应, 作出反应
vi.
有反应"
924,statement,"['steitmәnt]
n.
声明, 陈述, 综述"
925,maintain,"[men'tein]
vt.
维持, 维修, 继续, 供养, 主张"
926,charge,"[tʃɑ:dʒ]
n.
负荷, 电荷, 费用, 主管, 掌管, 充电, 充气, 装料
v.
装满, 控诉, 责令, 告诫, 指示, 加罪于, 冲锋, 收费"
927,popular,"['pɔpjulә]
adj.
通俗的, 流行的, 受欢迎的"
928,traditional,"[trә'diʃәn(ә)l]
adj.
传统的, 惯例的, 口传的, 传说的"
929,onto,"['ɔntu]
prep.
在...之上"
930,reveal,"[ri'vi:l]
vt.
展现, 显示, 揭示, 暴露"
931,direction,"[di'rekʃәn, dai'rekʃәn]
n.
方向, 指导, 趋势, (常用复数)指示, 用法, 说明(书), 收件人地址"
932,weapon,"['wepәn]
n.
武器"
933,employee,"[ˏemplɔi'i:, im'plɔii]
n.
职工, 雇员, 店员"
934,cultural,"['kʌltʃәr(ә)l]
adj.
文化的"
935,contain,"[kәn'tein]
vt.
包含, 容纳, 容忍
vi.
自制
v.
[军]牵制(敌军)
v.
[数]可被...除尽"
936,peace,"[pi:s]
n.
和平, 和睦, 安宁, 静寂
vi.
安静下来"
937,head,"[hed]
n.
头, 头脑, 领袖, (队伍, 名单等)最前的部分, 人, 顶点
vt.
作为...的首领, 朝向, 前进, 用头顶
vi.
成头状物, 出发
adj.
头的, 主要的"
938,control,"[kәn'trol]
n.
控制, 支配, 管理, 调节, 抑制, 控制器, 调节装置
vt.
控制, 支配, 管理(物价等), 操纵, 抑制"
939,base,"[beis]
n.
底部, 基础, 根据地, 基地, 本部, 基数, (运动)出发点
vt.
以...作基础, 基于...
adj.卑鄙的, 低级的"
940,pain,"[pein]
n.
痛苦, 疼, 痛, 劳苦, 努力
vt.
使痛苦"
941,apply,"[ә'plai]
vt.
申请, 应用
vi.
申请, 适用"
942,play,"[plei]
n.
游戏, 比赛, 运动, 赌博, 剧本
v.
玩, 扮演, 播放, 进行比赛
v.
播放"
943,measure,"['meʒә]
n.
尺寸, 量度器, 量度标准, 方法, 测量, 措施
vt.
测量, 测度, 估量, 分派, 权衡, 调节
vi.
量"
944,wide,"[waid]
adj.
宽的, 广阔的, 张大的, 远离目标的
adv.
广阔地, 广大地, 远离目标地"
945,shake,"[ʃeik]
v.
摇动, 摇, 颤抖, 震动
n.
摇动, 摇, 颤抖, 震动"
946,fly,"[flai]
n.
苍蝇, 两翼昆虫, 飞行
vi.
飞翔, 飘扬, 溃逃
vt.
飞越, 使飘扬, 逃脱
adj.
机敏的, 敏捷的"
947,interview,"['intәvju:]
vt.
接见, 会见
n.
接见, 会见"
948,manage,"['mænidʒ]
vi.
处理, 应付过去
vt.
管理, 控制, 操纵, 维持, 运用, 搞成, 设法, 达成"
949,chair,"[tʃєә]
n.
椅子, 教授职位, 主席位, 讲座
vt.
使入座, 使就任要职"
950,fish,"[fiʃ]
n.
鱼, 鱼肉, 鱼类, 接合板
vt.
钓, 钓鱼, 查出, 用接合板连接
vi.
捕鱼, 钓鱼, 用钩捞取, 间接探听, 拉摸索寻找"
951,particular,"[pә'tikjulә]
n.
细节, 详细
adj.
特殊的, 特别的, 独特的, 详细的, 精确的, 挑剔"
952,camera,"['kæmәrә]
n.
照相机"
953,structure,"['strʌktʃә]
n.
结构, 构造, 建筑物
vt.
建筑, 构成, 组织"
954,politics,"['pɔlitiks]
n.
政治, 政治学, 政纲, 政见"
955,perform,"[pә'fɔ:m]
vt.
履行, 执行, 表演, 演出
v.
完成任务"
956,bit,"bit
n. 位[计算机名词]
n. 少量,马嚼子,辅币
vt. 上马嚼子,控制
v. 
vbl. 咬"
957,weight,"[weit]
n.
重力, 重量, 分量, 砝码, 重要(性), 势力, 负担, 重累"
958,suddenly,"['sʌdәnli]
adv.
突然地"
959,discover,"[dis'kʌvә]
vt.
发现, 发觉
v.
发现"
960,candidate,"['kændidit]
n.
候选人, 投考者"
961,top,"[tɔp]
n.
顶部, 顶端, 极点, 顶蓬, 陀螺, (常用复数)根菜植物的叶子, 上部, 盖子
adj.
最高的, 顶上的, 头等的
vt.
盖, 戴, 高耸, 达到顶端, 截去(植物)顶端, 高过, 超越
vi.
结束, 完成, 胜过"
962,production,"[prә'dʌkʃәn]
n.
生产, 产品, 作品, (研究)成果"
963,treat,"[tri:t]
n.
宴请, 款待, 请客
vt.
视为, 对待, 论述, 治疗, 款待
vi.
交涉, 谈判, 协商, 款待, 作东"
964,trip,"[trip]
n.
(短途)旅行, 绊倒, 摔倒, 失足, 往返, 差错, 支吾, 旅程
vt.
使跌倒, 使犯错, 使失败, 挑剔
vi.
轻快地走, 摔倒, 绊倒, 失足, 结巴, 远足, 犯错, 旅行"
965,evening,"['i:vniŋ]
n.
傍晚, 晚间, 后期, (联欢性的)晚会"
966,affect,"[ә'fekt]
vt.
影响, 感动, 侵袭, 假装"
967,inside,"['in'said]
n.
里面, 内部, 内脏, 内情
adj.
内部的, 秘密的, 于室内工作的
adv.
在里面
prep.
在...之内"
968,conference,"['kɔnfәrәns]
n.
会议, 讨论会, 协商会"
969,unit,"['ju:nit]
n.
个体, (计量)单位, (军队的)部队单位, [数学]最小的整数"
970,best,"[best]
adj.
最好的
adv.
最好地, 最, 极
n.
最佳状态或作品, 最好的东西"
971,style,"[stail]
n.
风格, 时尚, 文体, 风度, 类型, 字体
vt.
称呼, 设计, 使合潮流
使铁笔作装饰画"
972,adult,"[ә'dʌlt, 'ædʌlt]
n.
成人, 成年人
adj.
成人的, 成熟的"
973,worry,"['wʌri]
n.
烦恼, 忧虑, 苦恼, 撕咬
vt.
使烦恼, 使焦虑, 使苦恼, 撕咬, 困扰, 折磨
vi.
烦恼, 担心, 撕咬, 挣扎着前进"
974,range,"[reindʒ]
n.
山脉, 行列, 范围, 射程
vt.
排列, 归类于, 使并列, 放牧
vi.
平行, 延伸, 漫游"
975,mention,"['menʃәn]
vt.
提及, 说起
n.
提及, 说起
v.
论及, 提及"
976,rather,"['rɑ:ðә]
adv.
宁愿, 宁可, 更正确, 更合适, 有点, 相当"
977,far,"[fɑ:]
adj.
(常用于书面语)远的, 久远的, 遥远的
adv.
(表示空间或时间上的距离)远, 很远, 遥远地, 久远地, 甚远地, 很, 很晚地
n.
远处, 远方"
978,deep,"[di:p]
adj.
深的, 纵深的, 远离中心的, 深奥的, 难懂的, (指人)诡计多端的, 低沉的(声音)
adv.
深入地, 迟
n.
深渊, 深处"
979,past,"[pɑ:st]
n.
过去, 往时
adj.
过去的, 结束的
prep.
越过, 晚于
vbl.
pass的过去分词"
980,edge,"[edʒ]
n.
刀口, 利刃, 锋, 优势, 边缘, 优势, 尖锐
vt.
使锋利, 挤进, 镶边, 开刃
vi.
缓缓移动, 侧着移动"
981,individual,"[ˏindi'vidjuәl]
n.
个人, 个体
adj.
个别的, 单独的, 个人的"
982,specific,"[spi'sifik]
n.
特效药, 细节
adj.
详细而精确的, 明确的, 特殊的, 特效的, [生物]种的"
983,writer,"['raitә]
n.
作者, 作家, 复写器"
984,trouble,"['trʌbl]
n.
烦恼, 麻烦, 动乱, 纠纷, 疾病, 故障, 问题
vt.
(使)烦恼, 麻烦, 打扰, 麻烦自己, 费神, 费心"
985,necessary,"['nesisәri]
n.
必需品
adj.
必要的, 必需的, 必然的"
986,throughout,"[θru(:)'aut]
prep.
遍及, 贯穿
adv.
到处, 始终, 全部"
987,challenge,"['tʃælindʒ]
n.
挑战
vt.
向...挑战"
988,fear,"[fiә]
n.
恐怖, 害怕, 担心, 敬畏
v.
害怕, 畏惧, 为...担心, 敬畏(神等)"
989,shoulder,"['ʃәuldә]
n.
肩, 肩部, 侧翼
vt.
肩负, 承当"
990,institution,"[ˏinsti'tju:ʃәn]
n.
公共机构, 协会, 制度"
991,middle,"['midl]
n.
中间, 当中
adj.
中间的, 中部的"
992,sea,"[si:]
n.
海洋, 大浪, 大量, 许多"
993,dream,"[dri:m]
v.
做梦, 梦见, 梦想, 想到
n.
梦, 梦想"
994,bar,"[bɑ:(r)]
n.
条, 棒(常用作栅栏,扣栓物), 横木, 酒吧间, 栅, 障碍物
vt.
禁止, 阻挡, 妨碍, 把门关住, 除...之外, (Bar)律师业"
995,beautiful,"['bju:tәful, -tiful]
adj.
美丽的, 很好的"
996,property,"['prɔpәti]
n.
财产, 所有物, 所有权, 性质, 特性, (小)道具"
997,instead,"[in'sted]
adv.
代替, 改为, 抵作, 更换"
998,improve,"[im'pru:v]
v.
改善, 改进"
999,stuff,"[stʌf]
n.
原料, 材料, 素材资料
vt.
塞满, 填满, 填充"
1000,detail,"['di:teil, di'teil]
n.
细节, 详情
vt.
详述, 细说"
1001,method,"['meθәd]
n.
方法"
1002,sign,"[sain]
n.
标记, 符号, 记号, 征兆, 迹象, 征候
v.
签名(于), 署名(于)～, 签署"
1003,somebody,"['sʌmbәdi]
n.
重要人物, 有名气的人
pron.
有人, 某人"
1004,magazine,"[ˏmægә'zi:n]
n.
杂志, 期刊, 军火库, 弹药库, (枪、炮的)弹仓, 胶卷盒"
1005,hotel,"[hәu'tel]
n.
旅馆, 客栈, <俚>监狱"
1006,soldier,"['sәuldʒә]
n.
士兵, 军人"
1007,reflect,"[ri'flekt]
v.
反射, 反映, 表现, 反省, 细想"
1008,heavy,"['hi:vi]
adj.
重的, 繁重的, 巨大的, 沉重的, 阴沉的
adv.
沉重地, 笨重地, 大量地
n.
重物, 严肃角色"
1009,sexual,"['seksjuәl]
adj.
性的, 性别的, [生]有性的"
1010,cause,"[kɔ:z]
n.
原因, 导致某事发生的人或事, 动机, 理由, 根据, 目标, 理想, 事业
vt.
引起, 惹起, 使(发生), 促成"
1011,bag,"[bæg]
n.
袋子, 猎获物"
1012,heat,"[hi:t]
n.
热, 热度, 热烈, 高潮, 压力
vi.
加热, 激昂, 发热, 发怒
vt.
把...加热, 使激动
abbr.
[军] High Explosive-Anti-Tank, 破甲弹"
1013,fall,"[fɔ:l]
n.
秋天, 落下, 瀑布, 降低, 落差, 采伐量, 堕落, 下降
vi.
倒下, 落下, 来临, 失守, 变成, 垮台, 下跌, 阵亡
vt.
<美><英方>击倒, 砍倒(树木)
adj.
秋天的"
1014,marriage,"['mæridʒ]
n.
结婚, 婚姻, 婚姻生活, 密切结合, 合并"
1015,tough,"[tʌf]
n.
恶棍
adj.
强硬的, 艰苦的, 坚强的, 坚韧的, 强壮的, 吃苦耐劳的, 凶恶的, 粗暴的
adv.
<口>强硬地, 顽强地
vt.
<美口>忍受, 耐, 坚持"
1016,sing,"[siŋ]
v.
唱, 演唱"
1017,surface,"['sә:fis]
n.
表面, 外表, 水面
adj.
表面的, 肤浅的"
1018,purpose,"['pә:pәs]
n.
目的, 意图, 用途, 效果, 决心, 意志
vt.
打算, 企图, 决心"
1019,exist,"[ig'zist]
vi.
存在, 生存, 生活, 继续存在"
1020,pattern,"['pætәn]
n.
模范, 式样, 模式, 样品, 格调, 图案
vt.
模仿, 仿造, 以图案装饰
vi.
形成图案"
1021,whom,"[hu:m, hum]
pron.
谁"
1022,skin,"[skin]
n.
皮, 皮肤, 兽皮, 皮毛, 外皮, 外壳
v.
长皮"
1023,agent,"['eidʒәnt]
n.
代理(商)"
1024,owner,"['әunә]
n.
所有者, 业主"
1025,machine,"[mә'ʃi:n]
n.
机器, 机械, 机动车辆, 机构, 设计, 机械般工作的人, (政党的)领导集团, 核心组织
vt.
机器制造, 用车床加工"
1026,gas,"[gæs]
n.
气体, 煤气, 毒气, 汽油, [矿]瓦斯
abbr.
[军] Gunners Auxiliary-Sight, 炮长辅助瞄准镜"
1027,down,"[daun]
adj.
向下的
adv.
向下, 在下面, 下去, 降下
prep.
往下, 沿着
n.
绒毛, 软毛, 开阔的高地"
1028,ahead,"[ә'hed]
adj.
adv.在前, 向前, 提前, 在前面"
1029,generation,"[ˏdʒenә'reiʃәn]
n.
产生, 发生, 一代, 一代人"
1030,commercial,"[kә'mә:ʃәl]
adj.
商业的, 贸易的"
1031,address,"[ә'dres]
n.
地址, 致辞, 演讲, 说话的技巧
vt.
向...致辞, 演说, 写姓名地址, 从事, 忙于"
1032,cancer,"['kænsә]
n.
癌, 毒瘤"
1033,test,"[test]
n.
测试, 试验, 检验
v.
测试, 试验, 检验"
1034,item,"['aitem, 'aitәm]
n.
(可分类或列举的)项目, 条款, (消息、情报等的)一则, 一条"
1035,reality,"[ri(:)'æliti]
n.
真实, 事实, 本体, 逼真"
1036,coach,"[kәutʃ]
n.
四轮大马车, 长途汽车, 教练
v.
训练, 指导"
1037,step,"[step]
n.
脚步, 步幅, 步调, 步伐, 步骤, 措施, 梯级, 台阶
v.
走, 举步, 移步, 踏
产品数据转换规范"
1038,Mrs,
1039,yard,"[jɑ:d]
n.
院子, 码"
1040,beat,"[bi:t]
n.
敲打, 拍子, 巡逻区域
v.
打, 打败"
1041,violence,"['vaiәlәns]
n.
猛烈, 强烈, 暴力, 暴虐, 暴行, 强暴"
1042,total,"['tәutl]
n.
总数, 合计
adj.
总的, 全部的, 整个的
v.
合计, 总数达, 达到"
1043,tend,"[tend]
vi.
趋向, 往往是
vt.
照管, 护理"
1044,investment,"[in'vestmәnt]
n.
投资, 可获利的东西"
1045,discussion,"[dis'kʌʃәn]
n.
讨论"
1046,finger,"['fiŋgә]
n.
手指(尤指大拇指以外的手指), 指状物, 指针
v.
用手指拨弄, 伸出"
1047,garden,"['gɑ:dn]
n.
(菜、花)园, 花园"
1048,notice,"['nәutis]
n.
通知, 布告, 注意
v.
注意到"
1049,collection,"[kә'lekʃәn]
n.
收藏, 征收, 搜集品, 捐款"
1050,modern,"['mɔdәn]
n.
现代人, 有思想的人
adj.
近代的, 现代的, 现代化的, 时髦的"
1051,task,"[tɑ:sk]
n.
任务, 作业
v.
分派任务"
1052,partner,"['pɑ:tnә]
n.
合伙人, 股东, 舞伴, 伴侣
vt.
与...合伙, 组成一对
vi.
做伙伴, 当助手"
1053,positive,"['pɔzәtiv]
adj.
肯定的, 实际的, 积极的, 绝对的, 确实的
adj.
[数]正的
adj.
[电]阳的
adj.
[语法] 原级的"
1054,civil,"['sivl]
adj.
全民的, 市民的, 公民的, 国民的, 民间的.民事的, 根据民法的, 文职的, 有礼貌的"
1055,kitchen,"['kitʃin]
n.
厨房, 炊具, 炊事人员"
1056,consumer,"[kәn'sju:mә]
n.
消费者"
1057,shot,"[ʃɔt]
n.
开枪, 射击, 子弹, 炮弹"
1058,budget,"['bʌdʒit]
n.
预算
vi.
做预算, 编入预算"
1059,wish,"[wiʃ]
n.
愿望, 心愿, 请求, 所愿望的事物, 祝愿
v.
希望, 想要, 但愿, 祝贺"
1060,painting,"['peintiŋ]
n.
上油漆, 着色, 绘画, 油画
v.
描绘"
1061,scientist,"['saiәntist]
n.
科学家"
1062,safe,"[seif]
n.
保险箱, 饭橱, 菜橱, 冷藏室
adj.
免受攻击的, 安全的, 可靠的, 有把握的"
1063,agreement,"[ә'gri:mәnt]
n.
同意, 一致, 协定, 协议"
1064,capital,"['kæpitәl]
n.
首都, 首府, 大写字母, 资本, 资金, 资产
adj.
首都的, 重要的, 死罪的, 大写的, <口>极好的"
1065,mouth,"[mauθ]
n.
口, 嘴"
1066,nor,"[nɔ:]
conj.
也不"
1067,victim,"['viktim]
n.
受害人, 牺牲者, 牺牲品"
1068,newspaper,"['nju:speipә]
n.
报纸"
1069,instead,"[in'sted]
adv.
代替, 改为, 抵作, 更换"
1070,threat,"[θret]
n.
恐吓, 凶兆, 威胁"
1071,responsibility,"[risˏpɔnsә'biliti]
n.
责任, 职责"
1072,smile,"[smail]
vi.
(～ at) 微笑
n.
微笑"
1073,attorney,"[ә'tә:ni]
n.
<美>律师, (业务或法律事务上的)代理人"
1074,score,"[skɔ:, skɔә]
n.
得分, 乐谱, 抓痕, 二十, 终点线, 刻痕, 帐目, 起跑线
vt.
把...记下, 刻划, 划线, 获得, 评价
vi.
记分, 刻痕, 得分"
1075,account,"[ә'kaunt]
n.
计算, 帐目, 说明, 估计, 理由
vi.
说明, 总计有, 认为, 得分
vt.
认为"
1076,interesting,"['intristiŋ]
adj.
有趣味的, 引起好奇(或注意)的"
1077,break,"[breik]
n.
休息, 暂停, 破裂, 突变
v.
打破, 违犯, 折断, 削弱, 超过, 突变"
1078,audience,"['ɔ:djәns]
n.
听众, 观众, 接见, 拜见"
1079,rich,"[ritʃ]
adj.
富的, 有钱的, 富有的, 富饶的, 肥沃的, 充足的, 丰富的"
1080,dinner,"['dinә]
n.
正餐, 宴会"
1081,figure,"['figә]
n.
外形, 轮廓, 体形, 图形, 画像, 数字, 形状, 身份
vt.
描绘, 塑造, 表示, 象征, 演算, 认为
vi.
出现, 考虑, 出名, 扮演角色"
1082,vote,"[vәut]
n.
投票, 选票,表决, 得票数
vi.
投票
vt.
投票,投票决定, 公认, <口>建议, 使投票"
1083,western,"['westәn]
adj.
西的, 西方的, 来自西方的人, 有西方特征的"
1084,relate,"[ri'leit]
vt.
叙述, 讲, 使联系, 发生关系"
1085,travel,"['trævl]
v.
旅行, 传播
vi.
行进, 传播
n.
旅行"
1086,debate,"[di'beit]
v.
争论, 辩论
n.
争论, 辩论"
1087,prevent,"[pri'vent]
v.
防止, 预防"
1088,citizen,"['sitizn]
n.
市民, 公民"
1089,majority,"[mә'dʒɔriti]
n.
多数, 大半
n.
[律] 成年"
1090,none,"[nʌn]
adv.
决不, 毫不
pron.
一个也没有, 毫无"
1091,front,"[frʌnt]
n.
前面, 开头, 前线, (政治上的)阵线, 态度, 外表
vt.
面对, 朝向, 对付
vi.
朝向"
1092,born,"[bɔ:n]
adj.
天生的, 原本, 天生就...的
vbl.
出生"
1093,admit,"[әd'mit]
v.
容许, 承认, 接纳"
1094,senior,"['si:njә]
adj.
年长的, 资格较老的, 地位较高的, 高级的"
1095,assume,"[ә'sju:m]
vt.
假定, 设想, 采取, 呈现"
1096,wind,"[waind]
n.
风
v.
绕, 缠, 上发条, 旋紧"
1097,key,"[ki:]
n.
钥匙, 关键, 解答, (打字机等的)键, 调子, 对译本, (开钟表、发条的)栓, 要害
vt.
调节...的音调, 锁上, 插上栓, 提供线索
vi.
使用钥匙
n.
[乐]键, 调, 基调"
1098,professional,"[prә'feʃәnl]
n.
自由职业者, 专业人员, 职业运动员, 职业艺人
adj.
专业的, 职业的"
1099,mission,"['miʃәn]
n.
使命, 任务, 使团, 代表团"
1100,fast,"[fɑ:st]
adj.
紧的, 牢的, 忠实的, 快速的, 耐久的, 紧的
adv.
牢固地, 很快地, 紧紧地, 彻底地
n.
禁食, 绝食, 斋戒
vi.
绝食, 斋戒"
1101,alone,"[ә'lәun]
adj.
单独的, 独一无二的, 孤独的, 独自的
adv.
独自地"
1102,customer,"['kʌstәmә]
n.
消费者"
1103,suffer,"['sʌfә]
vt.
遭受, 经历, 忍受
vi.
受痛苦, 受损害"
1104,speech,"[spi:tʃ]
n.
演说, 讲话
语音"
1105,successful,"[sәk'sesful]
adj.
成功的"
1106,option,"['ɔpʃәn]
n.
选项, 选择权, [经]买卖的特权"
1107,participant,"[pɑ:'tisipәnt]
n.
参与者, 共享者
adj.
参与的"
